"Date","Treat","Loc","Presence","Julian","Tairmin","Tairmax","Snowmed","Wind","Cover","density","mean.subniv","median.subniv","min.subniv"
2016-12-01,"0","A",0,1,1.42366666666667,5.12183333333333,17.3083333333334,0.00236111111111111,"Dec",0.0721477795345231,3.51279079861111,3.37713541666667,2.29
2016-12-02,"0","A",0,2,-0.295666666666667,2.26516666666667,15.675,0,"Dec",NA,2.46270833333333,2.41366319444444,1.325
2016-12-03,"0","A",0,3,-1.102,1.0685,17.2791666666667,0,"Dec",NA,1.32730550699301,1.17178321678322,0.496875
2016-12-04,"0","A",0,4,-1.08916666666667,0.212,16.3666666666667,0,"Dec",NA,0.927013888888889,0.777708333333333,0.606875
2016-12-05,"0","A",0,5,-0.452,0.941833333333333,17.2208333333334,0.00104166666666667,"Dec",0.0602855572981754,0.969995644599303,0.932682926829268,0.735625
2016-12-06,"0","A",0,6,-4.029,1.6175,16.2791666666667,0.02,"Dec",0.0502487488961583,0.471076388888889,0.34953125,-2.196875
2016-12-07,"0","A",0,7,-7.497,-4.7385,17.275,0.0328472222222222,"Dec",0.0565438009456667,-3.62113498263889,-3.63847222222222,-5.009375
2016-12-08,"0","A",0,8,-9.57216666666667,-4.52433333333333,17.7625,0.00993055555555556,"Dec",0.0578729089891887,-4.06639322916667,-4.14039930555556,-6.601875
2016-12-09,"0","A",0,9,-7.944,-1.6815,18.7208333333334,0,"Dec",0.0729935265686928,-3.56174045138889,-3.72010416666667,-5.844375
2016-12-10,"0","A",1,10,-10.3716666666667,-4.98333333333333,20.2625,0,"Dec",0.0488494369104426,-4.45722222222222,-4.46482638888889,-7.0325
2016-12-11,"0","A",1,11,-6.60733333333333,-1.7645,21.275,0,"Dec",0.0971116300447567,-1.08149739583333,-0.991041666666667,-2.096875
2016-12-12,"0","A",1,12,-13.9563333333333,-3.47983333333333,21.6791666666667,0,"Dec",0.093609593738076,-1.44191189236111,-1.24553819444444,-2.76
2016-12-13,"0","A",1,13,-15.1863333333333,-8.69366666666667,21.4333333333333,0.0025,"Dec",0.0944336209012739,-2.87146701388889,-2.53244791666667,-4.195625
